City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,61.11,72,0,5.06,US,1686106134
1,ushuaia,-54.8,-68.3,38.86,87,20,4.61,AR,1686106282
2,hamilton,39.1834,-84.5333,68.23,79,100,1.99,US,1686106284
3,adamstown,-25.066,-130.1015,71.38,59,100,16.37,PN,1686106324
4,georgetown,5.4112,100.3354,89.53,70,20,4.61,MY,1686106199
5,sandy,40.572,-111.8606,72.16,40,75,6.91,US,1686106199
6,port-aux-francais,-49.35,70.2167,35.33,100,100,31.68,TF,1686106325
7,patterson,37.4716,-121.1297,72.0,64,97,10.49,US,1686106325
8,haiku-pauwela,20.9219,-156.3051,80.62,63,40,18.41,US,1686106325
9,nabire,-3.3667,135.4833,85.75,67,99,3.85,ID,1686106326
10,turpan,42.9333,89.1667,99.72,9,0,5.68,CN,1686106326
11,albany,42.6001,-73.9662,52.54,93,36,4.59,US,1686106327
12,waitangi,-43.9535,-176.5597,52.83,87,100,1.01,NZ,1686106327
13,ancud,-41.8697,-73.8203,45.79,88,85,5.55,CL,1686106327
14,anadyr,64.75,177.4833,55.0,50,0,21.99,RU,1686106327
15,invercargill,-46.4,168.35,47.88,66,10,2.64,NZ,1686106328
16,college,64.8569,-147.8028,79.12,25,40,10.36,US,1686106328
17,puerto natales,-51.7236,-72.4875,41.32,79,100,15.14,CL,1686106328
18,grytviken,-54.2811,-36.5092,36.46,99,100,3.18,GS,1686106329
19,blackmans bay,-43.0167,147.3167,62.73,82,25,7.45,AU,1686106329
20,stepnogorsk,52.3544,71.8869,80.31,35,98,1.21,KZ,1686106329
21,thompson,55.7435,-97.8558,68.16,100,100,4.61,CA,1686106329
22,bredasdorp,-34.5322,20.0403,47.26,80,7,3.62,ZA,1686106330
23,codrington,-38.2667,141.9667,64.62,83,100,19.37,AU,1686106330
24,nova sintra,14.8667,-24.7167,70.36,80,58,5.66,CV,1686106330
25,la tuque,47.4334,-72.7824,53.85,71,100,10.36,CA,1686106331
26,port mathurin,-19.6833,63.4167,75.94,72,21,19.66,MU,1686106331
27,lihue,21.9789,-159.3672,81.64,70,20,12.66,US,1686106331
28,stanley,54.868,-1.6985,49.69,84,75,2.3,GB,1686106331
29,timbuktu,16.7735,-3.0074,86.86,14,6,10.13,ML,1686106332
30,greenville,35.6127,-77.3663,66.36,88,0,0.0,US,1686106251
31,yellowknife,62.456,-114.3525,54.12,62,75,10.36,CA,1686106332
32,huilong,31.8111,121.655,72.84,79,90,12.06,CN,1686106333
33,mont-dore,-22.2833,166.5833,75.99,99,19,11.81,NC,1686106333
34,tabou,4.423,-7.3528,77.09,89,100,7.29,CI,1686106333
35,lazaro cardenas,17.9583,-102.2,81.28,73,10,6.42,MX,1686106192
36,sinabang,2.4803,96.3801,81.73,80,100,2.57,ID,1686106334
37,tromso,69.6496,18.957,40.37,87,75,4.61,NO,1686106334
38,nema,57.5067,50.5011,53.22,76,10,6.2,RU,1686106335
39,nova venecia,-18.7106,-40.4006,63.48,94,0,3.44,BR,1686106335
40,tolanaro,-25.0319,46.9987,64.47,94,0,0.0,MG,1686106335
41,hawaiian paradise park,19.5933,-154.9731,80.11,83,100,10.36,US,1686106335
42,lompoc,34.6391,-120.4579,59.02,95,100,0.0,US,1686106336
43,santa ana de yacuma,-13.75,-65.4333,76.23,79,100,2.66,BO,1686106336
44,papatowai,-46.5619,169.4708,52.63,69,6,2.35,NZ,1686106336
45,qaqortoq,60.7167,-46.0333,36.34,96,100,4.03,GL,1686106337
46,st. john's,47.5649,-52.7093,48.78,98,100,13.8,CA,1686106080
47,revda,56.801,59.9303,52.27,97,100,5.99,RU,1686106337
48,longyearbyen,78.2186,15.6401,37.24,81,20,9.22,SJ,1686106337
49,aoji,42.5206,130.3953,81.34,31,74,8.21,KP,1686106338
50,margaret river,-33.95,115.0667,55.65,62,100,12.64,AU,1686106338
51,khandyga,62.6667,135.6,74.28,29,75,2.98,RU,1686106338
52,west island,-12.1568,96.8225,80.58,74,75,10.36,CC,1686106339
53,dunedin,-45.8742,170.5036,52.81,67,6,5.99,NZ,1686106339
54,los alamos,35.8881,-106.307,54.16,83,100,8.05,US,1686106339
55,sur,22.5667,59.5289,93.7,40,0,4.97,OM,1686106339
56,sakaiminato,35.55,133.2333,76.98,61,75,10.36,JP,1686106340
57,shakhun'ya,57.6758,46.6114,51.8,81,72,5.01,RU,1686106340
58,utrik,11.2278,169.8474,81.99,83,77,17.47,MH,1686106340
59,taoudenni,22.6783,-3.9836,89.02,17,0,11.48,ML,1686106341
60,maues,-3.3836,-57.7186,78.01,81,88,2.17,BR,1686106336
61,nar'yan-mar,67.6713,53.087,40.84,68,96,15.75,RU,1686106341
62,alice springs,-23.7,133.8833,67.55,68,68,13.8,AU,1686106341
63,pisco,-13.7,-76.2167,68.05,73,0,6.91,PE,1686106342
64,mount gambier,-37.8333,140.7667,62.35,92,99,13.44,AU,1686106342
65,namibe,-15.1961,12.1522,64.47,74,0,10.29,AO,1686106342
66,enewetak,11.3474,162.3373,81.88,80,96,16.02,MH,1686106343
67,edinburgh of the seven seas,-37.0676,-12.3116,57.97,89,100,32.84,SH,1686106343
68,selinsgrove,40.799,-76.8622,68.11,45,100,10.36,US,1686106343
69,strezhevoy,60.7333,77.5889,75.27,57,7,5.79,RU,1686106343
70,iqaluit,63.7506,-68.5145,37.13,81,100,4.61,CA,1686106344
71,hadibu,12.65,54.0333,84.42,79,100,10.25,YE,1686106344
72,port lincoln,-34.7333,135.8667,63.84,59,2,26.96,AU,1686106344
73,avarua,-21.2078,-159.775,77.05,57,20,9.22,CK,1686106345
74,zhenlai,45.8495,123.2973,75.72,24,83,11.12,CN,1686106345
75,vegreville,53.5001,-112.0518,72.3,24,0,1.14,CA,1686106345
76,tura,25.5198,90.2201,93.34,41,3,3.91,IN,1686106345
77,afaahiti,-17.75,-149.2833,80.47,71,94,16.28,PF,1686106346
78,ust-nera,64.5667,143.2,45.84,94,100,5.46,RU,1686106346
79,la'ie,21.6477,-157.9253,85.39,68,30,5.01,US,1686106346
80,duba,27.3513,35.6901,83.25,49,3,3.24,SA,1686106347
81,wewak,-3.5534,143.6268,85.87,68,97,5.95,PG,1686106347
82,vorgashor,67.5833,63.95,44.8,54,37,14.99,RU,1686106347
83,sakata,38.9167,139.855,73.58,68,20,10.36,JP,1686106348
84,vilyuchinsk,52.9306,158.4028,57.47,66,65,5.68,RU,1686106348
85,severo-yeniseyskiy,60.3725,93.0408,72.75,59,7,4.83,RU,1686106348
86,kabompo,-13.5927,24.2008,53.22,59,0,4.36,ZM,1686106349
87,urumqi,43.801,87.6005,88.75,14,0,4.47,CN,1686106349
88,sisimiut,66.9395,-53.6735,29.43,81,77,6.78,GL,1686106349
